DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),CLOSE_DEF_DIST(ft),FGM,pca_x,pca_y,mds_x,mds_y
5,3.8,22.5,6.2,0,-11.4492646,19.44856549,-0.198264711,-0.200701779
9,8.4,4.3,1.6,0,3.165422219,8.27183844,-0.260456649,0.357117719
0,0.8,24.9,5.3,0,-15.05300116,19.57386307,-0.036907784,-0.319857644
0,0.9,22.1,5.2,0,-13.17296392,17.50616771,-0.004570694,-0.251247651
0,0.3,0.7,4.9,0,0.207805529,0.830825428,0.264840235,0.243794545
0,1.2,6.3,5.3,0,-2.704623118,5.681714469,0.177059784,0.107887915
0,0.8,22.9,9.6,0,-13.37607698,18.14379711,0.104944935,-0.363999545
1,2.7,18.3,5.9,0,-9.350475228,15.74223738,-0.007250911,-0.146768988
2,3.5,5.5,0.1,0,-1.030263947,6.346222007,0.012791891,0.259745521
0,0.9,23.2,5.5,0,-13.85877444,18.34942726,-0.01151815,-0.281545103
5,6.1,16.1,3.2,0,-5.835185232,16.00276679,-0.199302271,0.007034776
0,0.8,24.2,5.2,0,-14.60850882,19.03917832,-0.030042451,-0.301574229
0,1,25.7,6.3,0,-15.33150181,20.3331,-0.025512138,-0.352992555
3,2.2,14.6,8,0,-7.262531793,12.54538463,0.125827692,-0.11219299
3,3.5,3.3,3.1,0,0.60205125,4.684668085,0.03072509,0.265206861
16,15.1,15,5,0,1.180500873,20.45520224,0.745109315,-0.069912324
0,1.2,1.7,1.9,0,-0.027080389,2.109691344,0.168210031,0.283890923
7,6.5,3.6,2.2,0,2.356129911,6.626863219,-0.153550766,0.330248584
0,0.8,24.2,6.2,0,-14.51976669,19.06046284,-0.004958975,-0.317852678
8,7.7,24,5.2,0,-9.743475472,22.93516974,-0.385549013,-0.164781828
1,3.3,7.7,1.7,0,-2.405255795,7.976368146,0.031867281,0.164686884
0,0.9,25.7,7.5,0,-15.30045647,20.29398313,0.005034097,-0.37777282
1,2.1,6.2,1.7,0,-2.339098666,6.059276352,0.08334942,0.188625587
1,2.5,12.9,4.7,0,-6.110457045,11.47908782,0.034819903,-0.010214124
0,1.4,25.3,5,0,-14.88601909,20.25974546,-0.058297546,-0.319005428
2,1.4,9.5,1.9,0,-5.045543796,8.069888559,0.059397311,0.105753559
0,0.7,23.9,4.8,0,-14.52515093,18.73776778,-0.034482341,-0.289899163
0,0.8,8.4,4.3,0,-4.455245806,6.99946562,0.138895171,0.07876953
1,1.9,7.7,3.1,0,-3.337249897,7.100950159,0.085727778,0.128993899
9,6.7,21,5.1,0,-8.622579862,19.95241491,0.255656097,-0.244295274
0,0.8,11.1,2.7,0,-6.3459328,9.019556124,0.100485478,0.039063324
0,1.1,22.8,6.7,0,-13.34232684,18.19996743,0.022390637,-0.291379101
0,0.5,1.6,2.8,0,-0.410562363,1.600159785,0.202909269,0.263492623
3,3,8.3,2.4,0,-3.075626911,8.150450982,0.00631627,0.147103563
2,2.5,5.9,2.2,0,-1.857424285,6.048654317,0.059691105,0.195558049
3,4.2,7.5,2.5,0,-1.643276845,8.319843367,-0.024489066,0.176815636
0,0.8,3,2.5,0,-1.117582461,2.852861965,0.174886753,0.237690668
1,1.2,2.2,2.2,0,-0.383068526,2.444814944,0.149485085,0.270153918
1,3.6,7.8,3,0,-2.128322019,8.274092434,0.030227721,0.144563303
0,0.7,22.4,5.9,0,-13.45603482,17.61998868,0.010948494,-0.271333046
0,1.1,23.2,7.1,0,-13.5658966,18.51279913,0.028796411,-0.308990237
13,10.6,20.9,3.8,0,-5.965924466,22.16370312,0.487922573,-0.26632222
3,3.3,13.6,5.7,0,-5.989074753,12.44687689,-0.036329147,-0.016572119
2,4,5.2,2.4,0,-0.254630997,6.490229554,0.017116339,0.225236252
0,1,18.6,10.4,0,-10.36922683,15.01872404,0.184553276,-0.284003802
8,5.1,1.3,2,0,2.713003867,3.915903002,-0.11173284,0.393490297
3,2.3,12.6,5.6,0,-6.104734653,11.03737062,0.018189927,-0.007232254
0,0.9,24.9,6.1,0,-14.90656224,19.65554901,-0.018045958,-0.331672603
5,4.2,21.6,5.5,0,-10.62670335,19.0075843,-0.195127437,-0.164821069
2,2.2,5.2,2.8,0,-1.577148109,5.334893801,0.078150605,0.20016575
0,0.8,25,5.7,0,-15.08227096,19.65845636,-0.028314215,-0.328304648
0,0.9,24.9,4.4,0,-15.05742386,19.61936531,-0.061206516,-0.306887475
0,0.9,24.8,7.4,0,-14.72643082,19.60713942,0.016697889,-0.354836676
0,0.9,24.8,4.3,0,-15.00153142,19.54115738,-0.06261675,-0.303243592
0,0.7,23,7,0,-13.74701839,18.09987849,0.032843959,-0.305660407
0,0.9,19.1,6,0,-11.15897067,15.24081116,0.04603937,-0.194685041
7,6.9,8.5,2.1,0,-0.524529341,10.61126214,-0.206924092,0.217035478
0,1.2,26.4,2.9,0,-15.93570116,20.92260552,-0.126141366,-0.327869029
1,6.2,14.9,3.3,0,-4.738555908,15.36323636,-0.137706372,0.008746784
2,2.7,4.6,1.7,0,-0.90893844,5.178295531,0.06101012,0.237104309
0,0.6,24.1,1.4,0,-15.03185269,18.75290101,-0.151864746,-0.265578068
0,0.8,11.5,7.9,0,-6.143540338,9.434553567,0.190215205,-0.062698187
0,0.7,4.5,3.1,0,-2.111282175,3.942166457,0.170031516,0.18930612
1,1.5,24.5,8.3,0,-14.05836915,19.73434782,0.037408722,-0.361836769
2,2.7,11.5,4.3,0,-5.147107855,10.48311889,0.019206644,0.036359269
2,5.2,6.6,1.8,0,-0.309266752,8.318471157,-0.040836329,0.217285814
0,0.8,6.1,2.7,0,-3.107600229,5.215582511,0.146588088,0.159857433
0,0.8,19.8,2.1,0,-12.03387675,15.62569949,-0.024662542,-0.156357919
0,1,6,1.4,0,-3.007307904,5.241149769,0.135272927,0.185751797
0,0.8,24.6,4.6,0,-14.9208207,19.33072549,-0.050841613,-0.303145087
6,5.8,3.4,1,0,1.909833637,6.048213795,-0.107124045,0.337042973
0,0.8,23.1,5.5,0,-13.86945301,18.20868948,-0.008805562,-0.280247646
4,3.7,8.3,3.1,0,-2.544168399,8.566299197,-0.034166967,0.151306225
11,8,18.8,6.2,0,-6.236864365,19.03931928,0.361168166,-0.224843043
9,7.6,18.4,3.7,0,-6.383878923,18.52647507,0.285001713,-0.167034021
3,2.9,4.4,1.1,0,-0.740537493,5.091023366,0.033820507,0.262221124
2,5,11.3,4.8,0,-3.237963425,11.82874332,-0.066399554,0.06315124
0,0.8,4.6,1.8,0,-2.215968373,4.055234351,0.154114202,0.212451813
3,3.8,6.9,3,0,-1.512086753,7.615375561,-0.00584551,0.179693663
1,1.8,6.2,1.3,0,-2.600931177,5.856787613,0.089737132,0.193815601
8,6.4,9.6,1.8,0,-1.699588765,11.06680031,0.234865651,0.058439944
0,0.8,24.4,8.7,0,-14.42744467,19.26583311,0.057889817,-0.376134388
2,5,4.1,0.6,0,1.052518539,6.261626297,-0.015829429,0.2979508
9,9.4,2.6,0.5,0,4.923291154,7.60165752,-0.274244532,0.42612271
6,4.1,10,1.7,0,-3.58521461,9.98516688,-0.121513655,0.151673339
0,1,25.7,2.1,0,-15.70421874,20.24370498,-0.144648093,-0.307448709
1,2.2,5.6,2.9,0,-1.768562983,5.692999263,0.093917634,0.183289457
12,10.8,14.1,4.6,0,-1.281130507,17.18830237,-0.490209798,0.139321703
1,1.2,8.8,3.5,0,-4.542302753,7.493730002,0.098745936,0.0913513
0,0.8,22.6,4.4,0,-13.6432361,17.80487914,-0.027268401,-0.252746166
4,3.9,7.3,5.5,0,-1.532630337,7.985903963,-0.057524987,0.153787113
17,15.9,4.8,3.4,0,8.189496155,13.12664818,-0.681096989,0.475569158
0,1.8,26.7,2.5,0,-15.71282665,21.53027998,-0.149904337,-0.325228398
0,1,4.2,0.7,0,-1.903627668,3.856820097,0.14355295,0.253483962
5,6.9,20.8,11.5,0,-7.539096423,20.27243005,-0.385040629,-0.236070321
4,8,2.8,1.9,0,4.155651341,7.13669408,-0.136841035,0.356962573
0,0.7,1.5,0.1,0,-0.434509017,1.595928701,0.176001872,0.331231551
0,1.9,1.7,0.4,0,0.36792296,2.530372714,0.1383257,0.324020014
0,1.3,0.9,0,0,0.397887999,1.525273269,0.162984906,0.347407683
3,6.1,13.5,4.5,0,-3.918332491,14.15568864,-0.141413204,0.037255655
0,0.8,24.3,5,0,-14.69102389,19.11100088,-0.036325557,-0.301149508
0,0.8,22.8,8.9,0,-13.37342982,18.05281846,0.08711177,-0.343634074
0,1.3,25.3,4.2,0,-15.03245801,20.17805953,-0.076798482,-0.309824073
0,0.7,3.3,5.1,0,-1.156598101,3.071781849,0.228342231,0.176702111
1,2.7,15.2,3.1,0,-7.591186993,13.32417705,-0.008491259,-0.036601807
0,0.8,20,7.3,0,-11.70195099,15.88853799,0.072894208,-0.240937513
1,1.6,9.9,1.3,0,-5.14818772,8.542411469,0.064052376,0.100957052
1,1.5,23.9,5.5,0,-13.9182472,19.2182743,-0.041002747,-0.284397933
0,0,2.6,2.2,0,-1.488700255,2.024892244,0.200697396,0.25048844
0,0.9,19.4,4.8,0,-11.45976118,15.44350814,0.020831897,-0.182882987
3,3.2,7.9,2.7,0,-2.639047227,7.98183507,0.004925321,0.153922243
2,2.1,9.7,2.2,0,-4.62033792,8.681041026,0.038476693,0.103438878
0,0.8,23.9,4.5,0,-14.47632835,18.79604073,-0.043733064,-0.284660417
1,1.8,20.6,5.9,0,-11.51911519,16.91014046,-0.001213802,-0.210082061
0,0.6,13.4,1.7,0,-8.075198352,10.61878284,0.09273674,-0.007781842
0,0.6,30.3,4.8,0,-18.74566184,23.54219569,-0.108052912,-0.44324845
2,5,9.4,3.4,0,-2.131636027,10.35343501,-0.050456629,0.123848814
1,2.4,5.8,0.7,0,-1.942438528,5.927648861,0.067078294,0.223073492
3,6.4,8.7,3.5,0,-0.671939691,10.67656436,-0.116603826,0.163852825
3,5.6,8.8,1.2,0,-1.544374999,10.18642295,-0.09558469,0.183557288
0,4.9,19.7,2.8,0,-8.813736584,18.21550987,-0.138761419,-0.114907844
0,0.8,18.3,6.5,0,-10.67191161,14.57815934,0.068556318,-0.186176745
1,2.7,4,0.4,0,-0.57692578,4.745807929,0.074343609,0.279092032
1,1.8,3.6,0.3,0,-1.005740369,3.857436805,0.105066957,0.285577328
0,0.8,24.5,4.5,0,-14.86492826,19.25251756,-0.05225821,-0.29940249
0,0.9,22.3,4.4,0,-13.37349092,17.64129903,-0.02429108,-0.244712518
0,0.9,24.4,3.8,0,-14.78683588,19.22619723,-0.071282095,-0.287388158
2,2.9,20.4,4.4,0,-10.75157518,17.385637,-0.073087795,-0.162844884
4,3,14.4,3.3,0,-7.005302251,12.75879575,-0.064331245,0.002079588
5,4,28.8,4.4,0,-15.53840903,24.33257671,-0.260159152,-0.333399341
2,1.8,3.5,3.3,0,-0.733524851,3.793551801,0.108556658,0.232044861
1,1.2,4.6,1.8,0,-1.972965011,4.262208467,0.125768766,0.218356496
4,4.2,19.8,5.9,0,-9.366629253,17.69832674,-0.153558185,-0.136366761
0,0.6,7.8,4.3,0,-4.217536338,6.413672169,0.151360429,0.091016009
1,1.3,7,3.4,0,-3.30993202,6.186829358,0.112909977,0.135036036
0,1.3,24.8,9.7,0,-14.22054305,19.91472708,0.073259952,-0.408119409
0,0,19.9,5.7,0,-12.3827335,15.2611368,0.051988833,-0.218104967
3,5.1,6.4,5.5,0,0.014389687,8.128747543,-0.076985979,0.185922363
0,1.2,25.3,5.7,0,-14.97479004,20.14532801,-0.037416224,-0.33152086
0,0.9,17.1,6.6,0,-9.810392365,13.73199243,0.081974695,-0.159633562
3,3.3,10.6,3.9,0,-4.205811041,10.12618057,-0.014895947,0.075386269
0,0.8,2.4,1.4,0,-0.826598893,2.372972149,0.169707728,0.276799663
0,1.5,24.5,5.3,0,-14.26581802,19.72215335,-0.041690729,-0.303221211
0,0.7,17.2,3,0,-10.34552112,13.60213098,0.04177149,-0.108613399
0,1.4,3.2,0,0,-1.016299763,3.33975944,0.135551062,0.302539389
0,0.6,7,4.1,0,-3.717151552,5.800779485,0.157669674,0.112974422
0,1,25.8,9.5,0,-15.11229365,20.47728997,0.051970203,-0.426964814
0,1.1,24.3,11.6,0,-13.87899019,19.4454537,0.133396496,-0.450083346
5,6,4.5,4,0,1.673294815,7.129917317,-0.110933516,0.271042527
0,1.3,25.1,4.8,0,-14.84967943,20.0386713,-0.058919305,-0.312421393
4,5,13.6,4.7,0,-4.854025657,13.47312449,-0.119124341,0.025237092
9,7.6,18.5,5.9,0,-6.253412892,18.64938051,-0.365238236,-0.035699191
7,5.8,0.7,2.7,0,3.750617325,3.978592624,-0.103912673,0.394005918
2,1.9,4.4,2.4,0,-1.320847409,4.523769284,0.092109502,0.222985858
0,0.9,24.9,8.7,0,-14.67583271,19.71088878,0.048782992,-0.387040309
2,2.2,3.2,2.3,0,-0.326186144,3.802662091,0.092118088,0.257304172
0,0.9,24.7,4.6,0,-14.91014213,19.47146327,-0.053370759,-0.304401355
0,1.2,22.2,4.4,0,-13.08238861,17.75919448,-0.02784931,-0.239059569
0,0.7,23.2,3.7,0,-14.16940071,18.18179849,-0.053557328,-0.259132133
1,1.6,21,4.2,0,-12.07993386,17.04895803,-0.035161603,-0.197343006
1,3.3,12,2.7,0,-5.101479678,11.26906998,0.001773892,0.048376047
1,2.6,16.9,3.3,0,-8.749916862,14.55712668,-0.022451465,-0.078928468
0,0.7,3.5,3.2,0,-1.454741448,3.183500188,0.182961048,0.210568425
2,2.7,2.8,0.5,0,0.150370731,3.783323594,0.070994665,0.306099015
7,6.9,11.9,3.6,0,-2.593482297,13.22989099,-0.232744376,0.12061648
8,7.3,5.3,3,0,1.870874782,8.402849224,-0.217471016,0.295772493
2,3.6,19.3,6.2,0,-9.351289641,17.03968312,-0.077110053,-0.151789224
0,0.7,5.2,2.3,0,-2.635642438,4.45769514,0.155225673,0.187295431
0,0.6,4.4,2.1,0,-2.210702872,3.780144147,0.163908946,0.210168244
0,0.8,6.5,2.2,0,-3.411037899,5.509258135,0.140263935,0.158428184
0,0.7,4.8,2.6,0,-2.349953194,4.15976261,0.161381703,0.191635423
4,3.9,24.4,5.2,0,-12.63435037,20.98910836,-0.190792677,-0.240224464
2,3.4,8.2,1.8,0,-2.703547138,8.371893149,0.008886792,0.157090043
0,0.8,22.3,5.4,0,-13.36019401,17.59792525,-0.001086097,-0.259980274
1,4.2,20.8,3.8,0,-10.02432168,18.56940131,-0.114893155,-0.155291471
0,0.8,22.8,4.9,0,-13.72839833,17.96768034,-0.01881406,-0.264283352
0,0.2,4.3,1.5,0,-2.500962378,3.43266072,0.175696378,0.222458561
0,0.7,17.2,4.7,0,-10.1946595,13.63831468,0.05040183,-0.132193894
0,1.1,2.8,1.6,0,-0.841581413,2.875521871,0.158849494,0.263779029
0,1.2,24.3,5,0,-14.38924301,19.36963412,-0.041782413,-0.296740333
0,0.8,5.5,1.8,0,-2.798868236,4.739949601,0.146681618,0.189762122
1,1.9,7.4,1.7,0,-3.267188923,6.842913401,0.078098262,0.158598801
0,0.4,0.5,1.8,0,0.137683455,0.677342751,0.20442449,0.309016292
0,0.8,11.2,4.4,0,-6.259837833,9.131819297,0.109751197,0.012484501
0,2.5,5,2.2,0,-1.156969385,5.467257307,0.101269148,0.208594167
1,2.8,15.2,4.4,0,-7.400377006,13.41650525,0.000891957,-0.054335644
0,0.8,22.5,9.2,0,-13.15250723,17.8309654,0.099675831,-0.344184514
0,0.6,22.7,4.3,0,-13.8677674,17.74951354,-0.028098237,-0.255954612
1,0.9,23.2,5.6,0,-13.90867775,18.29989659,-0.017404255,-0.277149841
2,2.5,14.7,4.9,0,-7.317285864,12.80111611,0.002417757,-0.046777759
0,0.8,25.7,8.2,0,-15.3137822,20.24422399,0.023349244,-0.394183892
2,2.6,14.4,3.5,0,-7.171779669,12.60773766,-0.009998642,-0.018807954
4,4.4,10.8,2.9,0,-3.652966569,10.91663726,-0.076805461,0.103674577
7,7.6,4.4,1.7,0,2.623523057,7.936098133,-0.193829254,0.328445792
0,-0.1,32.1,12.6,0,-19.74738951,24.62503736,0.02363846,-0.646942966
9,8.5,23.4,4.7,0,-8.854462385,22.93365799,-0.427261307,-0.128262282
2,5.7,15.4,4.3,0,-5.409650656,15.38996759,-0.125121956,-0.016177988
3,3.1,21.4,5.8,0,-11.18288979,18.25388756,-0.106530665,-0.192709696
4,5.5,19.2,4.1,0,-8.156977313,18.04409577,-0.185781483,-0.086553444
1,1.6,2.6,2.7,0,-0.295983187,3.018408335,0.136825222,0.255159769
0,0.7,22.2,3.2,0,-13.56610526,17.4103615,-0.050172153,-0.229480365
0,1,26.5,4.8,0,-15.98274821,20.90980898,-0.072057083,-0.349013319
1,2.1,26.4,3.4,0,-15.27110063,21.46351345,-0.134581399,-0.312201213
0,0.9,22.9,6.6,0,-13.56685815,18.14460183,0.020590135,-0.293604182
2,1.8,3,0.1,0,-0.693666404,3.345043945,0.093400068,0.308972017
0,0.9,25.6,3.4,0,-15.59953255,20.13063708,-0.099343429,-0.315006215
1,1.4,14.1,1.4,0,-8.010403308,11.61056114,0.035170555,-0.003544434
4,3.6,8.3,1.7,0,-2.743852599,8.471842546,-0.038287767,0.171261027
0,0,3.1,3.8,0,-1.670546106,2.439344852,0.218686597,0.204698569
6,6,3.8,2,0,1.8903996,6.503132832,-0.116802507,0.314553177
0,1,22,6.2,0,-12.94400992,17.51603107,0.018695452,-0.264034711
3,3.9,20.8,2.7,0,-10.46582872,18.24869516,-0.149883279,-0.131262111
9,7.5,23.9,5.1,0,-9.897250992,22.67598608,0.269693748,-0.330236061
1,2.7,4.5,2.1,0,-0.749897419,5.16238899,0.081396203,0.227823105
0,1.1,25.5,6.2,0,-15.1353975,20.24347091,-0.026153906,-0.345764864
3,2.6,7,2.2,0,-2.553189749,6.8985277,0.027796463,0.17711335
0,0.8,25.3,5.9,0,-15.25882249,19.89095168,-0.027414928,-0.338581731
0,2.6,3.2,2.3,0,0.093149774,4.164613568,0.112946956,0.255471112
0,0.9,22.4,5.1,0,-13.37613808,17.73227767,-0.010513639,-0.256782626
0,1.2,23.6,5.2,0,-13.91812803,18.84133472,-0.028075582,-0.283107486
0,0.9,24.2,4.7,0,-14.57743466,19.09319436,-0.044006294,-0.293491076
0,1.6,1.3,1.3,0,0.480521821,2.051235974,0.155348668,0.308678713
1,2,18.7,8.2,0,-9.933551479,15.64290152,0.098593508,-0.215816668
1,0.9,6.8,3.4,0,-3.482179598,5.776037176,0.127617897,0.136101729
0,0.6,22.9,5.6,0,-13.88193594,17.92934237,-0.000854803,-0.279290357
0,1.2,26.3,8.9,0,-15.33848174,20.97423323,0.025979958,-0.421983096
2,2.9,22,8.8,0,-11.39737624,18.69656048,0.09492746,-0.303665119
2,2.9,5.4,2.9,0,-1.169690658,5.941789362,0.054357538,0.200775148
7,6.5,5.4,1.6,0,1.137084908,7.983523002,-0.169659081,0.293975766
1,2.1,5.1,1.8,0,-1.617791287,5.22453061,0.093788435,0.212881666
1,4,20.1,4.2,0,-9.68634871,17.91604219,-0.093671544,-0.146665434
0,1.6,0.9,0.8,0,0.695217362,1.73627582,0.156534565,0.328757447
0,0.6,4.3,1.4,0,-2.208055711,3.689165504,0.160636584,0.227686988
1,3.3,17.5,6.4,0,-8.335299631,15.53219372,-0.013483219,-0.128516982
3,4.9,7.2,2.9,0,-0.885363499,8.552726926,-0.046400185,0.186866649
0,0.8,21.7,7.1,0,-12.82073249,17.17763211,0.049497121,-0.276260539
0,0.9,18.8,4.8,0,-11.07116127,14.98703131,0.02826259,-0.16887196
0,1,15.1,4.3,0,-8.643721011,12.22610688,0.061175808,-0.074258832
1,1,7.6,2.6,0,-3.995861292,6.43230364,0.109466283,0.13157607
2,3,5.5,2.9,0,-1.159012089,6.082527144,0.050340115,0.199442992
0,1,20.5,7.3,0,-11.8748938,16.39825197,0.065162348,-0.250548349
0,3.8,2.8,1.7,0,1.204313744,4.623424671,0.07283339,0.293684449
2,2.1,4.4,2.5,0,-1.161082756,4.655214355,0.086398574,0.222962309
0,0.7,21.7,7.5,0,-12.86068086,17.12148762,0.062130612,-0.285615041
1,2.7,18.8,4.8,0,-9.771924826,16.09922175,-0.029602276,-0.141603548
1,1.6,24.9,4.5,0,-14.57921062,20.0224428,-0.080195201,-0.292566066
0,0.8,18.8,4.6,0,-11.16435492,14.9181161,0.028106105,-0.166998172
2,2.6,8.9,4.2,0,-3.547494351,8.438265853,0.045266007,0.095598319
1,1.3,18.8,3,0,-10.98789374,15.15569327,-0.018581554,-0.132645595
1,2.4,9.2,3.6,0,-3.887152504,8.576076054,0.061932224,0.090646523
1,0.8,26.1,6.4,0,-15.79136216,20.4585706,-0.035674381,-0.362679378
